order,Catalogue Number,Species,genus,Longitude,Latitude,Coordinate Uncertainty in Metres
295,NE 59388,Cryptandra amara,Cryptandra,151.15,-31.3,
296,NSW 386840,Cryptandra amara,Cryptandra,,,
297,CBG 17463.1,Cryptandra amara,Cryptandra,149.4667,-30.8,1000
298,CANB 54242.1,Cryptandra amara,Cryptandra,149.2333,-33.35,1000
299,MEL 2472753A,Cryptandra amara,Cryptandra,,,
300,CANB 28935.1,Cryptandra amara,Cryptandra,149.7667,-34.75,5000
301,CANB 726068.1,Cryptandra amara,Cryptandra,151.0556,-31.5578,50
302,NE 97505,Cryptandra amara,Cryptandra,151.0566667,-31.55694444,
303,CBG 16408.1,Cryptandra amara,Cryptandra,151.9,-28.5833,2000
304,NSW 821948,Cryptandra amara,Cryptandra,151.0567,-31.5569,50
305,CANB 751879.1,Cryptandra amara,Cryptandra,149.0833,-35.25,2000
306,NSW 386839,Cryptandra amara,Cryptandra,,,
307,NSW 683500,Cryptandra amara,Cryptandra,150.02,-34.8,5000
308,NSW 815482,Cryptandra amara,Cryptandra,150.3,-33.62,1000
309,NSW 386729,Cryptandra amara,Cryptandra,149.12,-35.25,
310,NSW 745267,Cryptandra amara,Cryptandra,,,
311,CBG 8309995.2,Cryptandra amara,Cryptandra,148.9667,-35.3833,1000
312,NE 93534,Cryptandra amara,Cryptandra,151.875,-30.01194444,
313,CBG 8605294.1,Cryptandra amara,Cryptandra,149.1,-35.2667,1000
314,AD 99128131,Cryptandra amara,Cryptandra,149.0843132,-35.24864757,1000
315,CBG 8411026.1,Cryptandra amara,Cryptandra,149.0167,-35.4333,1000
316,CANB 54239.1,Cryptandra amara,Cryptandra,149.7667,-34.6833,1000
317,CBG 8905226.1,Cryptandra amara,Cryptandra,146.8625,-37.8583,50
318,NSW 386853,Cryptandra amara,Cryptandra,147.42,-41.5,5
319,CBG 8411046.1,Cryptandra amara,Cryptandra,149.0833,-35.25,1000
320,CANB 918348.1,Cryptandra amara,Cryptandra,148.3806,-36.8322,50
321,CANB 5884.1,Cryptandra amara,Cryptandra,151.7,-29.3167,5000
322,MEL 2105659A,Cryptandra amara,Cryptandra,149,-34.0833,
323,MEL 1594000A,Cryptandra amara,Cryptandra,149.0833,-35.25,1000
324,CBG 8309995.1,Cryptandra amara,Cryptandra,148.9667,-35.3833,1000
325,MEL 2028305A,Cryptandra amara,Cryptandra,146.5833,-36.8167,1000
326,NSW 921517,Cryptandra amara,Cryptandra,151.0556,-31.5578,50
327,CBG 2536.1,Cryptandra amara,Cryptandra,149.0667,-35.1667,1000
328,CANB 806011.1,Cryptandra amara,Cryptandra,149.0686,-35.3653,50
329,NSW 699674,Cryptandra amara,Cryptandra,152.62,-28.27,5000
